150L_x,150L_y,150L_z,250L_x,250L_y,250L_z,150R_x,150R_y,150R_z,250R_x,250R_y,250R_z,Straight_x,Straight_y,Straight_z,150L_LEdge_x,150L_LEdge_y,150L_REdge_x,150L_REdge_y,250L_LEdge_x,250L_LEdge_y,250L_REdge_x,250L_REdge_y,150R_LEdge_x,150R_LEdge_y,150R_REdge_x,150R_REdge_y,250R_LEdge_x,250R_LEdge_y,250R_REdge_x,250R_REdge_y,Straight_LEdge_x,Straight_LEdge_y,Straight_REdge_x,Straight_REdge_y
,,,,,,,,,,,,120.911,0,-0.01349375,0.279892949,-15.17725465,0.561575887,-15.70702321,-0.9550284,-23.78111298,-0.825164631,-24.36689058,206.859247,12.05218636,206.5324635,11.54898402,185.5038967,14.43430176,185.430775,13.83877406,,,,
,,,,,,,,,,,,127.524,0,-0.015875,2.576000151,-13.93057016,2.866885923,-14.45534198,1.17027827,-23.30020518,1.305248902,-23.88482722,209.0466934,10.60434716,208.7111776,10.10692461,187.6707059,14.1586488,187.5923902,13.56378189,,,,
,,,,,,,,,,,,133.938,0,-0.01190625,4.85,-12.64400295,5.15,-13.16361819,3.291307355,-22.80076912,3.431374573,-23.38419108,211.2085384,9.118552257,210.8643925,8.62706103,189.8350272,13.86409761,189.7515233,13.26993676,,,,
,,,,,,,,,,,,140.546,0,-0.01190625,7.101199814,-11.31794492,7.410222659,-11.8322453,5.407897331,-22.28284285,5.553050469,-22.86502029,213.3441234,7.595254255,212.9914523,7.109844058,191.9966956,13.5506706,191.90801,12.95726108,,,,
,,,,,,,,,,,,146.783,0,-0.00555625,9.328913856,-9.952799995,9.646865414,-10.46162885,7.519887012,-21.7464658,7.670115015,-22.32735439,215.452798,6.03491716,215.091709,5.555735854,194.1555466,13.21839165,194.0616859,12.62577865,,,,
,,,,,,,,,,,,153.426,0,-0.00396875,11.53246354,-8.548984021,11.85924696,-9.052186362,9.627115562,-21.19167882,9.782406989,-21.77123432,217.5339197,4.438016267,217.1645229,3.965209815,196.3114157,12.86728606,196.2123872,12.2755147,,,,
,,,,,,,,,,,,159.983,0,-0.00238125,13.71117765,-7.106924611,14.04669339,-7.604347155,11.72942251,-20.61852417,11.88976553,-21.19670244,219.5868548,2.805038007,219.2092625,2.33875043,198.4641389,12.49738058,198.35995,11.90649593,,,,
,,,,,,,,,,,,166.5,0,0,15.86439252,-5.62706103,16.20853838,-6.118552257,13.82664775,-20.02704548,13.99203016,-20.60380249,221.6109777,1.136479801,221.2253052,0.676853135,200.613552,12.10870336,200.5042107,11.51875042,,,,
,,,,,,,,,,,,,,,17.99145227,-4.109844058,18.34412342,-4.595254255,15.91863157,-19.4172878,16.08904078,-19.99257964,223.6056721,-0.567150093,223.2120366,-1.019975841,202.7594915,11.70128402,202.6450061,11.11230771,,,,
,,,,,,,,,,,,,,,,,,,18.00521467,-18.78929756,18.18063769,-19.36308042,224.5917932,-1.431955165,224.1942212,-1.881328598,204.901794,11.27515357,204.7821732,10.68719874,,,,
,,,,,,,,,,,,,,,,,,,20.08623814,-18.1431226,20.26666162,-18.71535277,,,,,207.0402962,10.83034446,206.9155492,10.2434559,,,,
,,,,,,,,,,,,,,,,,,,22.1615435,-17.47881212,22.34695369,-18.04944603,,,,,209.1748354,10.36689058,209.0449716,9.781112978,,,,
,,,,,,,,,,,,,,,,,,,24.2309727,-16.7964167,24.4213555,-17.3654109,,,,,211.3052489,9.884827216,211.1702783,9.300205177,,,,
,,,,,,,,,,,,,,,,,,,26.29436817,-16.09598833,26.48970906,-16.66329947,,,,,213.4313746,9.384191076,213.2913074,8.800769123,,,,
,,,,,,,,,,,,,,,,,,,28.35157275,-15.37758033,28.55185687,-15.94316522,,,,,215.5530505,8.865020287,215.4078973,8.282842851,,,,
,,,,,,,,,,,,,,,,,,,30.40242979,-14.64124741,30.60764187,-15.20506298,,,,,217.670115,8.327354387,217.519887,7.746465802,,,,
,,,,,,,,,,,,,,,,,,,32.4467831,-13.88704566,32.65690753,-14.44904897,,,,,219.782407,7.77123432,219.6271156,7.191678824,,,,
,,,,,,,,,,,,,,,,,,,34.484477,-13.1150325,34.69949777,-13.67518075,,,,,,,,,,,,
